Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25381036,"The Crossing (Harry Bosch, #18; Harry Bosch Universe, #27)",Michael Connelly,"Connelly, Michael",,"=""""","=""""",4,4.27,Orion,Kindle Edition,401,2015,2015,2017/02/01,2017/01/23,,,read,,,,1,0
11109099,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",5,4.02,Penguin,Kindle Edition,482,1994,1992,2016/07/12,2016/07/12,,,read,,,,1,0
20881071,"The Burning Room (Harry Bosch, #17; Harry Bosch Universe, #26)",Michael Connelly,"Connelly, Michael",,"=""0316225932""","=""9780316225939""",3,4.13,"Little, Brown and Company",Hardcover,388,2014,2014,2017/01/23,2014/12/05,,,read,,,,1,0
22035639,Summary of The Power of Habit: by Charles Duhigg | Includes Analysis,Instaread,"Instaread, Instaread",,"=""""","=""""",0,3.81,Instaread,Kindle Edition,32,2014,2014,,2017/01/23,to-read,to-read (#104),to-read,,,,0,0
71730,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,"Rosenberg, Marshall B.",Arun Gandhi,"=""1892005034""","=""9781892005038""",0,4.34,Puddledancer Press,Paperback,220,2003,1999,,2017/01/08,to-read,to-read (#103),to-read,,,,0,0
17859574,How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,"Adams, Scott",,"=""1591846919""","=""9781591846918""",0,4.05,Penguin Portfolio,Hardcover,248,2013,2013,,2017/01/01,to-read,to-read (#102),to-read,,,,0,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,New American Library,Mass Market Paperback,328,1950,1949,,2009/09/30,,,read,,,,1,0
26720867,Effective Debugging: 66 Specific Ways to Debug Software and Systems (Effective Software Development Series),Diomidis Spinellis,"Spinellis, Diomidis",,"=""0134394798""","=""9780134394794""",0,4.08,Addison-Wesley Professional,Paperback,256,2016,2016,,2016/12/23,to-read,to-read (#101),to-read,,,,0,0
899392,"The Legacy of Heorot (Heorot, #1)",Larry Niven,"Niven, Larry","Steven Barnes, Jerry Pournelle","=""0671695320""","=""9780671695323""",0,3.94,Pocket,Paperback,383,1989,1987,,2016/12/23,to-read,to-read (#100),to-read,,,,0,0
89195,"The Prefect (Prefect Dreyfus Emergency, #1)",Alastair Reynolds,"Reynolds, Alastair",,"=""0575077166""","=""9780575077164""",0,4.16,Easton Press,Hardcover,410,2007,2007,,2016/12/23,to-read,to-read (#99),to-read,,,,0,0
16158601,Turn the Ship Around!: A True Story of Turning Followers into Leaders,L. David Marquet,"Marquet, L. David",,"=""1591846404""","=""9781591846406""",0,4.23,Portfolio,Hardcover,272,2013,2013,,2016/12/23,to-read,to-read (#98),to-read,,,,0,0
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,"Kim, W. Chan",Renée Mauborgne,"=""1591396190""","=""9781591396192""",0,4.01,Harvard Business Review Press,Hardcover,240,2005,2004,,2016/12/20,to-read,to-read (#97),to-read,,,,0,0
425215,Distributed Algorithms (The Morgan Kaufmann Series in Data Management Systems),Nancy A. Lynch,"Lynch, Nancy A.",,"=""1558603484""","=""9781558603486""",0,4.20,Morgan Kaufmann,Hardcover,912,1996,1996,,2016/12/06,to-read,to-read (#96),to-read,,,,0,0
26795307,Moonglow,Michael Chabon,"Chabon, Michael",,"=""0062225553""","=""9780062225559""",0,3.80,Harper,Hardcover,430,2016,2016,,2016/10/17,to-read,to-read (#95),to-read,,,,0,0
16204365,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",Eric Brown,"=""""","=""""",4,3.60,Penguin,Kindle Edition,274,2012,1962,2016/09/17,2016/08/09,,,read,,,,1,0
1032514,The Scheme Programming Language,R. Kent Dybvig,"Dybvig, R. Kent",,"=""0262541483""","=""9780262541480""",0,3.93,Mit Pr,Paperback,329,2003,1987,,2016/09/12,to-read,to-read (#94),to-read,,,,0,0
3399243,"Sverige, Sverige, fosterland: Om ungdom, identitet och främlingskap",Gellert Tamas,"Tamas, Gellert",,"=""9163033356""","=""9789163033353""",0,3.40,Ordfront Förlag,Paperback,218,2006,2006,,2016/09/12,to-read,to-read (#93),to-read,,,,0,0
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,3.91,HarperCollins Perennial,Paperback,927,2004,2003,,2016/08/29,to-read,to-read (#92),to-read,,,,0,0
10552338,"Reamde (Crypto, #2)",Neal Stephenson,"Stephenson, Neal",,"=""0061977969""","=""9780061977961""",0,3.99,William Morrow,Hardcover,1044,2011,2011,,2016/08/29,to-read,to-read (#91),to-read,,,,0,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.00,William Morrow,Kindle Edition,872,2015,2015,,2016/08/29,to-read,to-read (#90),to-read,,,,0,0
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.26,Back Bay Books,Paperback,1088,2005,1996,,2016/08/17,to-read,to-read (#89),to-read,,,,0,0
85867,Dhalgren,Samuel R. Delany,"Delany, Samuel R.",,"=""0375706682""","=""9780375706684""",0,3.77,Vintage,Paperback,801,2001,1975,,2016/08/17,to-read,to-read (#88),to-read,,,,0,0
2749148,Last and First Men,Olaf Stapledon,"Stapledon, Olaf",,"=""0486466825""","=""9780486466828""",0,3.79,Dover Publications,Paperback,246,2008,1930,,2016/08/17,to-read,to-read (#87),to-read,,,,0,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.85,Tor Books,Paperback,1006,2006,2004,,2016/08/17,to-read,to-read (#86),to-read,,,,0,0
